"nomorBatang,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen"
"131,MM,17.2,77,60,68,6.25,,0"
"132,BK,18.1,69,51,60,4.53,18,11.5"
"133,BK,14.2,68,56,62,4.29,,0"
"134,KR,17.8,58,51,54,4.08,,0"
"135,BK,18.7,59,42,50,3.67,,0"
"136,KR,13.3,63,45,54,3.05,,0"
"137,MM,15,57,51,54,3.01,17,12.6"
"138,KR,20.5,76,54,65,6.8,,0"
"139,MM,12.6,60,47,53,2.78,,0"
"140,BK,14.4,64,51,57,3.53,10,3.9"
"141,BK,18,71,56,63,5.61,,0"
"142,KR,18.2,84,71,77,8.48,,0"
"143,KR,20.8,98,65,81,10.72,,0"
"144,MB,11.7,74,62,68,4.25,,0"
"145,BK,11,70,62,66,3.76,,0"
"146,KR,20.4,60,41,50,4.01,,0"
"147,KR,21.4,82,68,75,9.45,,0"
"148,BK,21.9,61,47,54,4.8,10,4.4"
"149,MB,11.4,84,65,74,4.9,,0"
"150,KR,10.5,57,53,55,2.49,,0"
"151,MK,14.8,64,55,59,4.05,,0"
"152,MK,12.8,55,45,50,2.51,,0"
"153,MP,18.3,78,60,69,6.24,18,8.7"
"154,KR,13,66,56,61,3.8,,0"
"155,KR,14.9,108,77,92,9.9,,0"
"156,KR,18.9,82,57,69,7.07,,0"
"157,KR,17.1,83,64,73,7.16,,0"
"158,KR,12.9,81,65,73,5.4,,0"
"159,KR,18.2,98,82,90,11.58,,0"
"160,KR,12.1,111,87,99,9.31,,0"
